tx_count,unique_senders,unique_receivers,active_pairs,avg_tx_per_sec,max_tx_in_1sec,min_interarrival,std_interarrival,top_sender_share,same_pair_ratio,sender_entropy,sin_hour,cos_hour,rate_deviation,label,attack_type
21,3,1,3,0.35,1,1,1.1,0.47619,0.47619,1.228576,-0.866025,-0.5,-1,1,"burst"
6,5,1,5,0.1,1,6,1.854724,0.333333,0.333333,2.251629,0.707107,-0.707107,-16,0,"normal"
23,9,1,9,0.383333,1,1,2.407375,0.26087,0.26087,2.670119,-0.5,-0.866025,-7,0,"normal"
22,11,1,11,0.366667,1,1,1.361938,0.227273,0.227273,3.170135,-0.965926,-0.258819,4,0,"normal"
6,4,1,4,0.1,1,9,1.6,0.5,0.5,1.792481,0.707107,-0.707107,-16,0,"normal"
12,5,1,5,0.2,1,1,3.492613,0.5,0.5,1.896241,0.965926,-0.258819,0,0,"normal"
4,3,1,3,0.066667,1,11,2.494438,0.5,0.5,1.5,-0.258819,-0.965926,-30,0,"normal"
14,14,1,14,0.233333,1,1,0,0.071429,0.071429,3.807355,-0.866025,0.5,4,1,"sybil"
19,5,1,5,0.316667,1,1,1.641476,0.421053,0.421053,1.721612,-1,0,4,1,"burst"
28,9,1,9,0.466667,1,1,1.987616,0.285714,0.285714,2.695947,-0.866025,-0.5,6,0,"normal"
12,8,1,8,0.2,1,2,2.860388,0.166667,0.166667,2.918296,0.5,0.866025,7,0,"normal"
12,3,1,3,0.2,1,1,3.471251,0.666667,0.666667,1.188722,0.5,0.866025,7,0,"normal"
14,2,1,2,0.233333,1,1,0.498519,0.5,0.5,1,-0.866025,-0.5,-8,1,"burst"
7,6,1,6,0.116667,1,3,3.636237,0.285714,0.285714,2.521641,0.707107,0.707107,2,0,"normal"
6,5,1,5,0.1,1,3,9.95992,0.333333,0.333333,2.251629,0.965926,-0.258819,-6,0,"normal"
8,2,1,2,0.133333,1,1,8.048323,0.875,0.875,0.543564,1,0,0,0,"normal"
5,5,1,5,0.083333,1,6,1.63936,0.2,0.2,2.321928,0.258819,-0.965926,-27,0,"normal"
13,10,1,10,0.216667,1,3,1.818119,0.153846,0.153846,3.238901,0.258819,0.965926,9,0,"normal"
7,7,1,7,0.116667,1,2,4.058599,0.142857,0.142857,2.807355,0.866025,0.5,3,0,"normal"
26,10,1,10,0.433333,1,1,1.261111,0.269231,0.269231,2.930593,-0.707107,-0.707107,0,0,"normal"
3,3,1,3,0.05,1,21,2,0.333333,0.333333,1.584963,0.965926,-0.258819,-9,0,"normal"
31,10,1,10,0.516667,1,1,0.978093,0.258065,0.258065,3.010175,-0.707107,-0.707107,5,0,"normal"
8,5,1,5,0.133333,1,2,8.194075,0.375,0.375,2.155639,0.707107,0.707107,3,0,"normal"
11,6,1,6,0.183333,1,2,2.6533,0.181818,0.181818,2.550341,0.5,0.866025,6,0,"normal"
5,5,1,5,0.083333,1,9,3.76663,0.2,0.2,2.321928,0.965926,-0.258819,-7,0,"normal"
3,3,1,3,0.05,1,10,7,0.333333,0.333333,1.584963,0.707107,-0.707107,-19,0,"normal"
11,5,1,5,0.183333,1,1,3.935734,0.454545,0.454545,2.040373,0.866025,0.5,7,0,"normal"
5,5,1,5,0.083333,1,9,6.652067,0.2,0.2,2.321928,0.707107,-0.707107,-17,0,"normal"
6,6,1,6,0.1,1,1,0,0.166667,0.166667,2.584963,-0.965926,0.258819,-6,1,"sybil"
10,5,1,5,0.166667,1,1,8.881942,0.6,0.6,1.770951,0.965926,0.258819,5,0,"normal"
11,8,1,8,0.183333,1,2,2.165641,0.181818,0.181818,2.913977,0.5,0.866025,6,0,"normal"
5,5,1,5,0.083333,1,7,6.015605,0.2,0.2,2.321928,0.707107,-0.707107,-17,0,"normal"
13,9,1,9,0.216667,1,2,2.576604,0.153846,0.153846,3.085055,-0.5,0.866025,7,0,"normal"
20,4,1,4,0.333333,1,1,4.919293,0.5,0.5,1.647731,0,1,16,0,"normal"
10,8,1,8,0.166667,1,2,1.791613,0.2,0.2,2.921928,-0.707107,0.707107,2,0,"normal"
4,4,1,4,0.066667,1,10,2.624669,0.25,0.25,2,0.866025,-0.5,-14,0,"normal"
3,2,1,2,0.05,1,8,10,0.666667,0.666667,0.918296,-0.707107,0.707107,-5,0,"normal"
5,5,1,5,0.083333,1,9,2.947457,0.2,0.2,2.321928,1,0,-3,0,"normal"
10,8,1,8,0.166667,1,2,3.197221,0.2,0.2,2.921928,0,1,6,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0,-1,-32,1,"ddos"
9,6,1,6,0.15,1,2,4.408798,0.222222,0.222222,2.503258,0,1,5,0,"normal"
32,14,1,14,0.533333,1,1,1.109977,0.1875,0.1875,3.355338,-0.5,-0.866025,2,0,"normal"
26,10,1,10,0.433333,1,1,1.32665,0.384615,0.384615,2.590026,-1,0,11,0,"normal"
19,4,1,4,0.316667,1,1,2.015373,0.473684,0.473684,1.799016,-0.258819,0.965926,14,0,"normal"
3,3,1,3,0.05,1,9,7,0.333333,0.333333,1.584963,0.965926,0.258819,-2,0,"normal"
3,3,1,3,0.05,1,20,2.5,0.333333,0.333333,1.584963,0.965926,-0.258819,-9,0,"normal"
8,8,1,8,0.133333,1,5,3.331973,0.125,0.125,3,0.258819,0.965926,4,0,"normal"
7,6,1,6,0.116667,1,7,1.247219,0.285714,0.285714,2.521641,0,-1,-28,0,"normal"
5,4,1,4,0.083333,1,13,0.707107,0.4,0.4,1.921928,-0.258819,-0.965926,-29,0,"normal"
3,2,1,2,0.05,1,18,4.5,0.666667,0.666667,0.918296,0.707107,-0.707107,-19,0,"normal"
3,3,1,3,0.05,1,14,0.5,0.333333,0.333333,1.584963,1,0,-5,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0,-1,-32,1,"ddos"
3,1,1,1,0.05,1,2,0,1,1,0,0,-1,-32,1,"ddos"
11,4,1,4,0.183333,1,1,2.794638,0.454545,0.454545,1.676737,0.707107,0.707107,6,0,"normal"
3,3,1,3,0.05,1,17,1,0.333333,0.333333,1.584963,1,0,-5,0,"normal"
10,7,1,7,0.166667,1,2,2.73974,0.2,0.2,2.721928,0.707107,0.707107,5,0,"normal"
9,5,1,5,0.15,1,1,2.236068,0.333333,0.333333,2.113283,-0.866025,-0.5,-13,1,"burst"
6,5,1,5,0.1,1,8,2,0.333333,0.333333,2.251629,0.866025,-0.5,-12,0,"normal"
18,6,1,6,0.3,1,1,2.732605,0.388889,0.388889,2.105411,0.5,0.866025,13,0,"normal"
12,10,1,10,0.2,1,3,1.402477,0.166667,0.166667,3.251629,0,1,8,0,"normal"
11,4,1,4,0.183333,1,1,2.86531,0.363636,0.363636,1.823068,0.965926,0.258819,6,0,"normal"
17,7,1,7,0.283333,1,1,3.367468,0.470588,0.470588,2.278352,0.5,0.866025,12,0,"normal"
11,3,1,3,0.183333,1,1,7.258788,0.545455,0.545455,1.322179,0.5,0.866025,6,0,"normal"
20,5,1,5,0.333333,1,1,1.518127,0.45,0.45,1.695462,-0.866025,-0.5,-2,1,"burst"
8,7,1,7,0.133333,1,2,4.71645,0.25,0.25,2.75,-0.258819,0.965926,3,0,"normal"
23,4,1,4,0.383333,1,1,1.521879,0.434783,0.434783,1.547972,-0.866025,-0.5,1,1,"burst"
5,2,1,2,0.083333,1,1,0.5,0.6,0.6,0.970951,-0.965926,-0.258819,-13,1,"burst"
5,5,1,5,0.083333,1,8,2.58602,0.2,0.2,2.321928,0.5,-0.866025,-23,0,"normal"
5,4,1,4,0.083333,1,1,7.75806,0.4,0.4,1.921928,1,0,-3,0,"normal"
8,3,1,3,0.133333,1,1,9.191833,0.625,0.625,1.298795,0.965926,0.258819,3,0,"normal"
9,8,1,8,0.15,1,3,2.58602,0.222222,0.222222,2.947703,0.5,0.866025,4,0,"normal"
11,9,1,9,0.183333,1,2,2.607681,0.181818,0.181818,3.095795,-0.258819,0.965926,6,0,"normal"
9,7,1,7,0.15,1,3,2.471715,0.222222,0.222222,2.725481,0.5,0.866025,4,0,"normal"
17,6,1,6,0.283333,1,1,3.635223,0.352941,0.352941,2.307189,0.965926,0.258819,12,0,"normal"
12,12,1,12,0.2,1,1,0,0.083333,0.083333,3.584963,-0.965926,0.258819,0,1,"sybil"
10,8,1,8,0.166667,1,3,2.393407,0.2,0.2,2.921928,0,1,6,0,"normal"
11,8,1,8,0.183333,1,2,2.968164,0.181818,0.181818,2.913977,-0.5,0.866025,5,0,"normal"
3,3,1,3,0.05,1,18,4,0.333333,0.333333,1.584963,0.965926,-0.258819,-9,0,"normal"
33,10,1,10,0.55,1,1,1.130196,0.30303,0.30303,2.729832,-0.965926,-0.258819,15,0,"normal"
19,19,1,19,0.316667,1,1,0,0.052632,0.052632,4.247928,-0.965926,0.258819,7,1,"sybil"
5,2,1,2,0.083333,1,3,10.559356,0.8,0.8,0.721928,0.965926,-0.258819,-7,0,"normal"
6,4,1,4,0.1,1,2,9.927739,0.5,0.5,1.792481,0.258819,0.965926,2,0,"normal"
4,4,1,4,0.066667,1,9,4.784233,0.25,0.25,2,0.707107,0.707107,-1,0,"normal"
9,7,1,7,0.15,1,2,2.368412,0.222222,0.222222,2.725481,-0.258819,0.965926,4,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.5,-0.866025,-1,1,"ddos"
3,3,1,3,0.05,1,21,2.5,0.333333,0.333333,1.584963,0.866025,0.5,-1,0,"normal"
5,5,1,5,0.083333,1,8,3.082207,0.2,0.2,2.321928,0.258819,-0.965926,-27,0,"normal"
3,2,1,2,0.05,1,4,15.5,0.666667,0.666667,0.918296,-0.707107,0.707107,-5,0,"normal"
5,4,1,4,0.083333,1,9,6.533567,0.4,0.4,1.921928,0.5,-0.866025,-23,0,"normal"
6,6,1,6,0.1,1,6,2.925748,0.166667,0.166667,2.584963,-0.258819,-0.965926,-28,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0.5,-0.866025,-25,1,"ddos"
12,5,1,5,0.2,1,1,6.164414,0.666667,0.666667,1.584963,0.707107,0.707107,7,0,"normal"
10,8,1,8,0.166667,1,2,2.657391,0.2,0.2,2.921928,-0.258819,0.965926,5,0,"normal"
3,3,1,3,0.05,1,10,5.5,0.333333,0.333333,1.584963,0.965926,-0.258819,-9,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.5,-0.866025,-1,1,"ddos"
3,3,1,3,0.05,1,23,2,0.333333,0.333333,1.584963,0.866025,-0.5,-15,0,"normal"
12,7,1,7,0.2,1,2,3.449757,0.166667,0.166667,2.751629,0.258819,0.965926,8,0,"normal"
3,3,1,3,0.05,1,22,1,0.333333,0.333333,1.584963,1,0,-5,0,"normal"
12,10,1,10,0.2,1,3,1.991718,0.166667,0.166667,3.251629,-0.258819,0.965926,7,0,"normal"
10,5,1,5,0.166667,1,1,8.066085,0.4,0.4,2.046439,0.258819,0.965926,6,0,"normal"
15,5,1,5,0.25,1,1,2.725541,0.666667,0.666667,1.558939,0.965926,0.258819,10,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.5,-0.866025,-1,1,"ddos"
7,6,1,6,0.116667,1,6,3.131382,0.285714,0.285714,2.521641,0.5,-0.866025,-21,0,"normal"
6,6,1,6,0.1,1,6,3.498571,0.166667,0.166667,2.584963,0.707107,-0.707107,-16,0,"normal"
22,9,1,9,0.366667,1,1,1.540092,0.318182,0.318182,2.804597,-0.258819,-0.965926,-12,0,"normal"
18,9,1,9,0.3,1,1,2.860058,0.5,0.5,2.473851,0.5,0.866025,13,0,"normal"
29,11,1,11,0.483333,1,1,1.099629,0.275862,0.275862,2.883459,-0.5,-0.866025,-1,0,"normal"
7,7,1,7,0.116667,1,6,1.892969,0.142857,0.142857,2.807355,0.5,-0.866025,-21,0,"normal"
5,3,1,3,0.083333,1,2,9.354143,0.6,0.6,1.370951,-0.258819,0.965926,0,0,"normal"
7,6,1,6,0.116667,1,6,2.910708,0.285714,0.285714,2.521641,0.707107,-0.707107,-15,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0,-1,-32,1,"ddos"
6,5,1,5,0.1,1,8,2.497999,0.333333,0.333333,2.251629,0.5,-0.866025,-22,0,"normal"
4,4,1,4,0.066667,1,10,1.414214,0.25,0.25,2,0.707107,-0.707107,-18,0,"normal"
25,10,1,10,0.416667,1,1,2.175862,0.48,0.48,2.458689,-0.5,-0.866025,-5,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.5,-0.866025,-1,1,"ddos"
27,1,1,1,0.45,1,2,0,1,1,0,0,-1,-8,1,"ddos"
6,6,1,6,0.1,1,7,2.19089,0.166667,0.166667,2.584963,-0.258819,-0.965926,-28,0,"normal"
14,3,1,3,0.233333,1,1,1.384615,0.642857,0.642857,1.198117,0.5,0.866025,9,0,"normal"
6,6,1,6,0.1,1,10,0.748331,0.166667,0.166667,2.584963,0.258819,-0.965926,-26,0,"normal"
5,5,1,5,0.083333,1,8,2.872281,0.2,0.2,2.321928,0.866025,-0.5,-13,0,"normal"
4,3,1,3,0.066667,1,10,6.01849,0.5,0.5,1.5,0.707107,-0.707107,-18,0,"normal"
9,6,1,6,0.15,1,2,3.179524,0.222222,0.222222,2.503258,0,1,5,0,"normal"
19,19,1,19,0.316667,1,1,0,0.052632,0.052632,4.247928,-0.965926,0.258819,7,1,"sybil"
7,6,1,6,0.116667,1,6,3.095696,0.285714,0.285714,2.521641,0.707107,-0.707107,-15,0,"normal"
5,5,1,5,0.083333,1,1,0,0.2,0.2,2.321928,-0.866025,0.5,-5,1,"sybil"
26,11,1,11,0.433333,1,1,2.292946,0.230769,0.230769,3.151799,-0.965926,-0.258819,8,0,"normal"
3,3,1,3,0.05,1,11,2,0.333333,0.333333,1.584963,0.866025,-0.5,-15,0,"normal"
26,13,1,13,0.433333,1,1,1.105622,0.230769,0.230769,3.320659,-0.258819,-0.965926,-8,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,-0.258819,-0.965926,-7,1,"ddos"
4,4,1,4,0.066667,1,12,4.109609,0.25,0.25,2,0.866025,0.5,0,0,"normal"
6,3,1,3,0.1,1,2,3.429286,0.666667,0.666667,1.251629,0.258819,0.965926,2,0,"normal"
10,10,1,10,0.166667,1,4,1.314684,0.1,0.1,3.321928,0.258819,0.965926,6,0,"normal"
11,8,1,8,0.183333,1,2,2.57682,0.181818,0.181818,2.913977,0,1,7,0,"normal"
19,4,1,4,0.316667,1,1,5.394327,0.526316,0.526316,1.465256,0.707107,0.707107,14,0,"normal"
35,10,1,10,0.583333,1,1,1.020974,0.342857,0.342857,2.675274,-0.5,-0.866025,5,0,"normal"
10,8,1,8,0.166667,1,2,3.496029,0.2,0.2,2.921928,0,1,6,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0,-1,-32,1,"ddos"
5,5,1,5,0.083333,1,9,2.277608,0.2,0.2,2.321928,-0.258819,-0.965926,-29,0,"normal"
4,4,1,4,0.066667,1,9,7.408704,0.25,0.25,2,0.965926,-0.258819,-8,0,"normal"
9,6,1,6,0.15,1,3,2.54951,0.222222,0.222222,2.503258,0.707107,0.707107,4,0,"normal"
27,8,1,8,0.45,1,1,1.507869,0.259259,0.259259,2.632555,-0.866025,-0.5,5,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.258819,-0.965926,-5,1,"ddos"
6,4,1,4,0.1,1,7,3.261901,0.333333,0.333333,1.918296,0.866025,-0.5,-12,0,"normal"
3,3,1,3,0.05,1,21,3,0.333333,0.333333,1.584963,0.965926,-0.258819,-9,0,"normal"
5,3,1,3,0.083333,1,2,13.647344,0.6,0.6,1.370951,0.5,0.866025,0,0,"normal"
5,5,1,5,0.083333,1,7,2.54951,0.2,0.2,2.321928,0,-1,-30,0,"normal"
8,8,1,8,0.133333,1,6,1.049781,0.125,0.125,3,-0.5,0.866025,2,0,"normal"
8,7,1,7,0.133333,1,3,2.321154,0.25,0.25,2.75,0,1,4,0,"normal"
13,10,1,10,0.216667,1,2,2.289772,0.153846,0.153846,3.238901,0.5,0.866025,8,0,"normal"
6,6,1,6,0.1,1,7,3.059412,0.166667,0.166667,2.584963,0.258819,-0.965926,-26,0,"normal"
11,8,1,8,0.183333,1,2,2.332381,0.181818,0.181818,2.913977,0.707107,0.707107,6,0,"normal"
19,19,1,19,0.316667,1,1,0,0.052632,0.052632,4.247928,-0.965926,0.258819,7,1,"sybil"
10,6,1,6,0.166667,1,2,4.109609,0.4,0.4,2.321928,0,1,6,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0.258819,-0.965926,-29,1,"ddos"
6,6,1,6,0.1,1,4,7.964923,0.166667,0.166667,2.584963,0.707107,0.707107,1,0,"normal"
13,11,1,11,0.216667,1,2,1.771691,0.153846,0.153846,3.392747,-0.5,0.866025,7,0,"normal"
11,7,1,7,0.183333,1,2,3.072458,0.181818,0.181818,2.732159,0,1,7,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,-0.258819,-0.965926,-7,1,"ddos"
4,4,1,4,0.066667,1,8,8.259674,0.25,0.25,2,-0.258819,-0.965926,-30,0,"normal"
18,13,1,13,0.3,1,1,1.649158,0.166667,0.166667,3.572431,-0.707107,-0.707107,-8,0,"normal"
9,7,1,7,0.15,1,2,1.984313,0.222222,0.222222,2.725481,0.866025,0.5,5,0,"normal"
7,5,1,5,0.116667,1,8,1.247219,0.428571,0.428571,2.128085,0.258819,-0.965926,-25,0,"normal"
3,2,1,2,0.05,1,2,2.5,0.666667,0.666667,0.918296,-0.258819,0.965926,-2,0,"normal"
28,14,1,14,0.466667,1,1,1.415183,0.25,0.25,3.333743,-0.707107,-0.707107,2,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0.258819,-0.965926,-29,1,"ddos"
33,10,1,10,0.55,1,1,1.148623,0.242424,0.242424,3.025328,-0.866025,-0.5,11,0,"normal"
21,3,1,3,0.35,1,1,1.1,0.47619,0.47619,1.228576,-1,0,6,1,"burst"
11,2,1,2,0.183333,1,1,0.5,0.545455,0.545455,0.99403,-1,0,-4,1,"burst"
3,1,1,1,0.05,1,2,0,1,1,0,-0.258819,-0.965926,-31,1,"ddos"
12,8,1,8,0.2,1,2,2.412091,0.166667,0.166667,2.918296,0.258819,0.965926,8,0,"normal"
26,11,1,11,0.433333,1,1,2.242855,0.461538,0.461538,2.661226,-0.866025,-0.5,4,0,"normal"
8,8,1,8,0.133333,1,1,0,0.125,0.125,3,-0.965926,0.258819,-4,1,"sybil"
6,5,1,5,0.1,1,7,2.315167,0.333333,0.333333,2.251629,0.866025,-0.5,-12,0,"normal"
9,5,1,5,0.15,1,1,7.648529,0.333333,0.333333,2.113283,1,0,1,0,"normal"
4,4,1,4,0.066667,1,12,1.699673,0.25,0.25,2,0.965926,-0.258819,-8,0,"normal"
17,5,1,5,0.283333,1,1,1.390537,0.411765,0.411765,1.775523,-1,0,2,1,"burst"
22,11,1,11,0.366667,1,1,1.679542,0.272727,0.272727,3.208987,-0.707107,-0.707107,-4,0,"normal"
4,4,1,4,0.066667,1,10,6.847546,0.25,0.25,2,0.965926,-0.258819,-8,0,"normal"
5,4,1,4,0.083333,1,6,3.674235,0.4,0.4,1.921928,0.707107,-0.707107,-17,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.258819,-0.965926,-5,1,"ddos"
10,4,1,4,0.166667,1,1,5.10144,0.5,0.5,1.685475,-0.258819,0.965926,5,0,"normal"
4,4,1,4,0.066667,1,9,6.164414,0.25,0.25,2,0.866025,0.5,0,0,"normal"
3,3,1,3,0.05,1,17,6,0.333333,0.333333,1.584963,0.866025,-0.5,-15,0,"normal"
13,5,1,5,0.216667,1,1,2.253084,0.538462,0.538462,1.823026,0.866025,0.5,9,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.258819,-0.965926,-5,1,"ddos"
3,1,1,1,0.05,1,2,0,1,1,0,0,-1,-32,1,"ddos"
5,4,1,4,0.083333,1,6,2.680951,0.4,0.4,1.921928,0,-1,-30,0,"normal"
10,7,1,7,0.166667,1,2,2.666667,0.2,0.2,2.721928,0.707107,0.707107,5,0,"normal"
19,10,1,10,0.316667,1,1,1.985285,0.157895,0.157895,3.181366,-0.866025,-0.5,-3,0,"normal"
4,4,1,4,0.066667,1,11,4.966555,0.25,0.25,2,0.866025,-0.5,-14,0,"normal"
31,11,1,11,0.516667,1,1,1.905839,0.193548,0.193548,3.051173,-0.5,-0.866025,1,0,"normal"
12,4,1,4,0.2,1,2,3.837613,0.583333,0.583333,1.614005,0.258819,0.965926,8,0,"normal"
11,8,1,8,0.183333,1,2,2.410394,0.181818,0.181818,2.913977,0.5,0.866025,6,0,"normal"
19,19,1,19,0.316667,1,1,0,0.052632,0.052632,4.247928,-0.965926,0.258819,7,1,"sybil"
5,4,1,4,0.083333,1,11,1.63936,0.4,0.4,1.921928,-0.258819,-0.965926,-29,0,"normal"
11,8,1,8,0.183333,1,2,2.426932,0.181818,0.181818,2.913977,0.258819,0.965926,7,0,"normal"
30,9,1,9,0.5,1,1,1.553639,0.233333,0.233333,2.792693,-1,0,15,0,"normal"
3,3,1,3,0.05,1,9,8.5,0.333333,0.333333,1.584963,0.965926,-0.258819,-9,0,"normal"
10,9,1,9,0.166667,1,3,2.282515,0.2,0.2,3.121928,0,1,6,0,"normal"
35,10,1,10,0.583333,1,1,1.071816,0.2,0.2,3.050114,-0.965926,-0.258819,17,0,"normal"
4,3,1,3,0.066667,1,6,6.683313,0.5,0.5,1.5,0.866025,-0.5,-14,0,"normal"
4,4,1,4,0.066667,1,10,1.699673,0.25,0.25,2,0.5,-0.866025,-24,0,"normal"
12,5,1,5,0.2,1,2,3.332782,0.333333,0.333333,2.084963,0,1,8,0,"normal"
6,6,1,6,0.1,1,9,1.624808,0.166667,0.166667,2.584963,0.965926,-0.258819,-6,0,"normal"
24,6,1,6,0.4,1,1,2.715913,0.416667,0.416667,2.07085,0.965926,0.258819,19,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0,-1,-8,1,"ddos"
5,5,1,5,0.083333,1,6,3.344772,0.2,0.2,2.321928,0.5,-0.866025,-23,0,"normal"
4,4,1,4,0.066667,1,3,13.274872,0.25,0.25,2,0.866025,0.5,0,0,"normal"
9,5,1,5,0.15,1,1,2.027159,0.333333,0.333333,2.113283,-0.866025,-0.5,-13,1,"burst"
11,3,1,3,0.183333,1,2,7.851115,0.545455,0.545455,1.322179,0,1,7,0,"normal"
5,5,1,5,0.083333,1,8,2.772634,0.2,0.2,2.321928,0.965926,-0.258819,-7,0,"normal"
6,6,1,6,0.1,1,7,2.683282,0.166667,0.166667,2.584963,0,-1,-29,0,"normal"
16,7,1,7,0.266667,1,1,3.05214,0.5,0.5,2.25,0.965926,0.258819,11,0,"normal"
34,13,1,13,0.566667,1,1,1.052349,0.205882,0.205882,3.237092,-0.258819,-0.965926,0,0,"normal"
5,4,1,4,0.083333,1,9,7.980445,0.4,0.4,1.921928,0.866025,0.5,1,0,"normal"
18,3,1,3,0.3,1,1,2.874539,0.777778,0.777778,0.944489,0.965926,0.258819,13,0,"normal"
5,4,1,4,0.083333,1,11,1.5,0.4,0.4,1.921928,0.5,-0.866025,-23,0,"normal"
13,8,1,8,0.216667,1,2,2.520747,0.153846,0.153846,2.931209,0,1,9,0,"normal"
8,7,1,7,0.133333,1,2,3.422614,0.25,0.25,2.75,0,1,4,0,"normal"
14,3,1,3,0.233333,1,1,5.739926,0.571429,0.571429,1.378783,-0.258819,0.965926,9,0,"normal"
4,4,1,4,0.066667,1,12,1.699673,0.25,0.25,2,0.866025,0.5,0,0,"normal"
4,4,1,4,0.066667,1,9,1.632993,0.25,0.25,2,1,0,-4,0,"normal"
19,19,1,19,0.316667,1,1,0,0.052632,0.052632,4.247928,-0.707107,0.707107,11,1,"sybil"
8,7,1,7,0.133333,1,2,2.657296,0.25,0.25,2.75,-0.258819,0.965926,3,0,"normal"
3,1,1,1,0.05,1,2,0,1,1,0,0.258819,-0.965926,-29,1,"ddos"
33,12,1,12,0.55,1,1,1.034087,0.212121,0.212121,3.179976,-1,0,18,0,"normal"
27,1,1,1,0.45,1,2,0,1,1,0,0.258819,-0.965926,-5,1,"ddos"
8,5,1,5,0.133333,1,1,9.642593,0.5,0.5,2,0.866025,0.5,4,0,"normal"
5,4,1,4,0.083333,1,2,6.363961,0.4,0.4,1.921928,0.707107,0.707107,0,0,"normal"
32,11,1,11,0.533333,1,1,1.431037,0.28125,0.28125,2.884669,-0.707107,-0.707107,6,0,"normal"
6,5,1,5,0.1,1,6,3.136877,0.333333,0.333333,2.251629,0.866025,-0.5,-12,0,"normal"
30,10,1,10,0.5,1,1,1.114172,0.266667,0.266667,2.960012,-0.5,-0.866025,0,0,"normal"
18,5,1,5,0.3,1,1,3.143621,0.555556,0.555556,1.796089,0.258819,0.965926,14,0,"normal"
5,5,1,5,0.083333,1,8,3.960745,0.2,0.2,2.321928,0.707107,-0.707107,-17,0,"normal"
9,4,1,4,0.15,1,1,3.741657,0.333333,0.333333,1.891061,1,0,1,0,"normal"
10,8,1,8,0.166667,1,2,2.922877,0.2,0.2,2.921928,0.707107,0.707107,5,0,"normal"
14,14,1,14,0.233333,1,1,0,0.071429,0.071429,3.807355,-0.866025,0.5,4,1,"sybil"
